environment,agent,beta,lambda,epsilon,scope,target_type,target_definition,positive_class,score_definition,aggregation_level,n_rows,n_seeds,n_positive,n_negative,auroc,auroc_ci_low,auroc_ci_high,auroc_available_seed_count,average_precision,average_precision_ci_low,average_precision_ci_high,average_precision_available_seed_count,balanced_accuracy_0_5,balanced_accuracy_0_5_ci_low,balanced_accuracy_0_5_ci_high,balanced_accuracy_0_5_available_seed_count,brier_score,brier_score_ci_low,brier_score_ci_high,brier_score_available_seed_count,auroc_availability,source_file
ReliabilityShift-boundary-030-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,528,10,15,513,0.9945507708665603,0.9887028176501861,1.0,6,0.898148148148148,0.7592592592592592,1.0,6,0.8254012403876289,0.7485522968536805,0.8903379281537173,6,0.2074855980413013,0.19750452268450358,0.2203173277550459,10,available,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-030-independent-calibration,same_input_crisp,0.05,5.0,1e-08,post_shift_all,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,553,10,16,537,0.99557945041816,0.9907492746202424,1.0,7,0.9126984126984127,0.7936507936507935,1.0,7,0.7874965311107142,0.7186353765443101,0.8505687820499149,7,0.2298703143452578,0.22114907080771015,0.24088714674540923,10,available,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,post_shift_all,value_error,Evaluation rows with analytic full-action Q*: target=1 means the tabular Q-vector RMSE is lower than the neural Q-vector RMSE. Numerical ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,5740,10,1438,4302,0.7558051104198692,0.6992303914030852,0.8067761293427635,10,0.5468817763530616,0.500615500940755,0.5930693460987062,10,0.6846813863821796,0.6412026976428925,0.7287670059760718,10,0.19946457417323873,0.18544807752790393,0.21434766826040932,10,available,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-020-independent-calibration,same_input_crisp,0.05,5.0,1e-08,post_shift_all,value_error,Evaluation rows with analytic full-action Q*: target=1 means the tabular Q-vector RMSE is lower than the neural Q-vector RMSE. Numerical ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,5740,10,1444,4296,0.7135968057750632,0.6710123436304345,0.7541772380564727,10,0.5140883995921618,0.4818411184422323,0.5485061123566355,10,0.6653386680307409,0.6280343168294745,0.6997046150757796,10,0.2084497357552774,0.1964741834626061,0.2210169324090217,10,available,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-030-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,post_shift_all,value_error,Evaluation rows with analytic full-action Q*: target=1 means the tabular Q-vector RMSE is lower than the neural Q-vector RMSE. Numerical ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,5740,10,1234,4506,0.8005351297918633,0.7390759907354,0.852838058717594,10,0.5317141913582599,0.4824247545252034,0.5813898555931372,10,0.6997042332313557,0.6476400264817352,0.7492875405183855,10,0.18426866143711237,0.16941966252834958,0.20144722820463537,10,available,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-030-independent-calibration,same_input_crisp,0.05,5.0,1e-08,post_shift_all,value_error,Evaluation rows with analytic full-action Q*: target=1 means the tabular Q-vector RMSE is lower than the neural Q-vector RMSE. Numerical ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,5737,10,1241,4496,0.7803932322952974,0.7233298523768292,0.8362500116274301,10,0.5206020217763377,0.472460710085942,0.5738634908095537,10,0.701308954719013,0.6546779249163202,0.7474205139083333,10,0.1914867132342109,0.17741825329896008,0.2070115191480035,10,available,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,761,10,0,761,,,,0,,,,0,,,,0,0.2121394766298228,0.2017827485650036,0.2267166952637499,10,not_available_single_class,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-020-independent-calibration,same_input_crisp,0.05,5.0,1e-08,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,777,10,3,774,0.9692307692307692,,,1,0.4777777777777777,,,1,0.8076923076923077,,,1,0.22517057786735686,0.21322927128256947,0.24268520339977817,10,available,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-030-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,513,10,0,513,,,,0,,,,0,,,,0,0.21059998427945695,0.19998382236993462,0.2227797778341024,10,not_available_single_class,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-030-independent-calibration,same_input_crisp,0.05,5.0,1e-08,post_shift_changed_region,action_correctness,Evaluation rows where exactly one branch greedy action equals the analytic optimal action; target=1 means tabular is correct and neural is incorrect. Ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,537,10,0,537,,,,0,,,,0,,,,0,0.23324479659152822,0.22366536960609948,0.24720478526399456,10,not_available_single_class,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-020-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,post_shift_changed_region,value_error,Evaluation rows with analytic full-action Q*: target=1 means the tabular Q-vector RMSE is lower than the neural Q-vector RMSE. Numerical ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,1630,10,374,1256,0.7192391016803149,0.6937435262075293,0.7492159083528094,10,0.39039026947783795,0.3281990570843371,0.4540478731855321,10,0.6511494121026296,0.62978850503748,0.6716967842274216,10,0.23459045475071288,0.2282225412481132,0.24249623118709993,10,available,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-020-independent-calibration,same_input_crisp,0.05,5.0,1e-08,post_shift_changed_region,value_error,Evaluation rows with analytic full-action Q*: target=1 means the tabular Q-vector RMSE is lower than the neural Q-vector RMSE. Numerical ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,1630,10,363,1267,0.6873173280574207,0.6497477407912098,0.7221245026030403,10,0.36768117331089417,0.31135879052597576,0.4253613296069222,10,0.6211681822272651,0.5984890022622219,0.6439499213911359,10,0.24478393864486114,0.23753405820785492,0.2534801311604612,10,available,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-030-independent-calibration,relative_reliability_fuzzy,0.05,5.0,1e-08,post_shift_changed_region,value_error,Evaluation rows with analytic full-action Q*: target=1 means the tabular Q-vector RMSE is lower than the neural Q-vector RMSE. Numerical ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,1077,10,145,932,0.6946209247009495,0.6242190967898371,0.7541561336152229,10,0.23263364817114454,0.16423215854095638,0.30468129895646906,10,0.6377405273213237,0.5683396296290343,0.6996234823045658,10,0.24262800195910508,0.23466521887089714,0.25161480751272874,10,available,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
ReliabilityShift-boundary-030-independent-calibration,same_input_crisp,0.05,5.0,1e-08,post_shift_changed_region,value_error,Evaluation rows with analytic full-action Q*: target=1 means the tabular Q-vector RMSE is lower than the neural Q-vector RMSE. Numerical ties are excluded.,tabular_better,neural residual error divided by tabular plus neural residual error plus epsilon; higher predicts tabular,mean_of_seed_metrics,1077,10,142,935,0.7048038256540432,0.6290862654761975,0.7708347847934252,10,0.23291649716872956,0.16850718748968666,0.30077370621912414,10,0.6426507934678491,0.5916223712572787,0.6877267235444722,10,0.25701925254621305,0.24965529586211105,0.26566527248543464,10,available,results/reviewer1_remaining/reliability_calibration_independent/execution_instrumentation_rerun/raw.csv
